label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
L,0.753185510635376,0.4642329216003418,0.0007710386416874826,0.9998497366905212,0.7079470753669739,0.4373282790184021,0.11153784394264221,0.9995291829109192,0.7150670289993286,0.4491622745990753,-0.14705830812454224,0.9999860525131226,0.6491206884384155,0.5898116230964661,0.08487874269485474,0.999710738658905,0.628631591796875,0.5928679704666138,-0.08493731915950775,0.9998971819877625,0.7229076623916626,0.5992222428321838,0.13701792061328888,0.9182937741279602,0.6295333504676819,0.7277351021766663,-0.1149582713842392,0.9969455003738403,0.6841570734977722,0.7145733833312988,0.1484111100435257,0.9808305501937866,0.5466448664665222,0.6855613589286804,-0.07306800782680511,0.9964098334312439,0.6704323887825012,0.7323600053787231,0.1481519341468811,0.9787378907203674,0.5313434600830078,0.6657944917678833,-0.06633657962083817,0.9902703762054443,0.7131928205490112,0.7574479579925537,0.15162596106529236,0.984839141368866,0.5480002760887146,0.749300479888916,-0.07670985162258148,0.9959607124328613
L,0.753062903881073,0.46164584159851074,-7.626402657479048e-05,0.9998663663864136,0.7079457640647888,0.4373144805431366,0.1152920201420784,0.9995723366737366,0.7145761251449585,0.44916313886642456,-0.14723047614097595,0.9999876022338867,0.6484944820404053,0.5902072191238403,0.08538942784070969,0.9997266530990601,0.6283801794052124,0.592859148979187,-0.08545458316802979,0.9999035596847534,0.722818911075592,0.5989616513252258,0.137314110994339,0.9179762601852417,0.6296072602272034,0.7278685569763184,-0.11918611079454422,0.9969385862350464,0.6837447881698608,0.7144713997840881,0.14427872002124786,0.9806643724441528,0.5469274520874023,0.6856547594070435,-0.09194114059209824,0.9965329766273499,0.6700611114501953,0.7322644591331482,0.1435958594083786,0.9789101481437683,0.5317237377166748,0.6659221649169922,-0.0866987481713295,0.9905603528022766,0.7123555541038513,0.7574036121368408,0.14632871747016907,0.9849299788475037,0.5479639768600464,0.7495368719100952,-0.09926269948482513,0.9961116313934326
L,0.7521861791610718,0.4567408263683319,0.0002014614874497056,0.9998922348022461,0.7081459164619446,0.4369281232357025,0.12358670681715012,0.9996549487113953,0.7138007283210754,0.447858989238739,-0.13963443040847778,0.999989926815033,0.6482475996017456,0.5901180505752563,0.08564680069684982,0.9997684359550476,0.628315269947052,0.5903222560882568,-0.08573468774557114,0.9999188780784607,0.7210089564323425,0.6013267636299133,0.14237454533576965,0.9153225421905518,0.6297177076339722,0.7282614707946777,-0.13290542364120483,0.9966448545455933,0.6834806799888611,0.7132912278175354,0.13323460519313812,0.9805259108543396,0.5468466877937317,0.6856781840324402,-0.1422070413827896,0.9966887831687927,0.6701624393463135,0.7319876551628113,0.13118499517440796,0.9795325398445129,0.5313750505447388,0.6665428876876831,-0.14045819640159607,0.9909713864326477,0.7111542224884033,0.7574607729911804,0.13123498857021332,0.9854465126991272,0.5471034646034241,0.7496387958526611,-0.157886803150177,0.9964045882225037
L,0.7514421343803406,0.45471176505088806,-0.017100654542446136,0.9999074935913086,0.7082206010818481,0.4375348389148712,0.12192080914974213,0.9997036457061768,0.7135549187660217,0.44810783863067627,-0.14542889595031738,0.9999911189079285,0.6481057405471802,0.590463399887085,0.08556072413921356,0.9997916221618652,0.6279510855674744,0.5901021361351013,-0.08566352725028992,0.9999265074729919,0.7209044098854065,0.6013185977935791,0.1492489129304886,0.9170432090759277,0.6294984817504883,0.7286486029624939,-0.12627723813056946,0.9965115189552307,0.6834818124771118,0.7134400010108948,0.1329876184463501,0.9811933636665344,0.5467808246612549,0.6857107281684875,-0.12726657092571259,0.9967783689498901,0.6705830097198486,0.7322223782539368,0.13055486977100372,0.9804648756980896,0.5312368273735046,0.6667340397834778,-0.12407055497169495,0.991235613822937,0.7109414935112,0.7573058009147644,0.1361670047044754,0.9862671494483948,0.5470846891403198,0.7495163083076477,-0.13095003366470337,0.996573269367218
L,0.7507928013801575,0.45315688848495483,-0.012179132550954819,0.9999215006828308,0.7078732848167419,0.440206915140152,0.12594261765480042,0.9997460842132568,0.713222324848175,0.44829463958740234,-0.15177445113658905,0.9999923706054688,0.6481152772903442,0.5911420583724976,0.0855812132358551,0.9998102784156799,0.6279438138008118,0.5916447639465332,-0.08568865060806274,0.9999321699142456,0.720869779586792,0.6013263463973999,0.1609814167022705,0.9133315682411194,0.6281121969223022,0.7305722832679749,-0.10979127138853073,0.9959137439727783,0.6841292381286621,0.71272873878479,0.15464825928211212,0.9809635281562805,0.5467288494110107,0.685930609703064,-0.09056319296360016,0.9967561364173889,0.6712241768836975,0.7325056195259094,0.15369239449501038,0.9810229539871216,0.5310443639755249,0.6670790910720825,-0.08537323772907257,0.9915724992752075,0.7109987735748291,0.7562360763549805,0.16355961561203003,0.9866551756858826,0.5467168092727661,0.7494158744812012,-0.09235725551843643,0.9966184496879578
L,0.7505962252616882,0.4518205523490906,0.0005878481897525489,0.9999274015426636,0.7077484130859375,0.44077420234680176,0.1345537304878235,0.9997630715370178,0.7130206227302551,0.44822630286216736,-0.14922432601451874,0.999992847442627,0.6481213569641113,0.5914272665977478,0.08557823300361633,0.9998207688331604,0.6281367540359497,0.5919196009635925,-0.08568499982357025,0.9999366998672485,0.7208104729652405,0.60115647315979,0.16193787753582,0.9076964855194092,0.6281059980392456,0.7304771542549133,-0.12075909227132797,0.9953799247741699,0.6845957636833191,0.7119849324226379,0.15097707509994507,0.9805549383163452,0.5468155741691589,0.6860543489456177,-0.12319555878639221,0.9966957569122314,0.6713752150535583,0.7325402498245239,0.14991354942321777,0.9811672568321228,0.5310332179069519,0.6671285033226013,-0.11988414824008942,0.9917168617248535,0.7108123898506165,0.7557064294815063,0.1578536480665207,0.9867697954177856,0.5470348000526428,0.7494652271270752,-0.12805074453353882,0.996650218963623
L,0.7503272891044617,0.45047223567962646,-0.001903247321024537,0.999933660030365,0.7074999809265137,0.44058340787887573,0.13066232204437256,0.9997788667678833,0.712942361831665,0.4471961557865143,-0.14969021081924438,0.9999932646751404,0.6485347151756287,0.591184139251709,0.08556429296731949,0.9998248815536499,0.6288431286811829,0.5924655795097351,-0.08566954731941223,0.9999381899833679,0.7208540439605713,0.6015166640281677,0.16414548456668854,0.905386745929718,0.6277932524681091,0.7304965257644653,-0.11230602860450745,0.9951484203338623,0.6845622062683105,0.713108479976654,0.15796248614788055,0.9807326793670654,0.5470051169395447,0.6866231560707092,-0.09630990773439407,0.9967691898345947,0.671383261680603,0.7331250309944153,0.15700434148311615,0.9816996455192566,0.5312778353691101,0.6673877239227295,-0.09121333062648773,0.9920380115509033,0.7115126252174377,0.7558562159538269,0.16750012338161469,0.9870420694351196,0.5475588440895081,0.7495120763778687,-0.09740347415208817,0.9967072606086731
L,0.7502480149269104,0.4494476318359375,-0.005381818860769272,0.9999393820762634,0.7077364325523376,0.4404231309890747,0.12971743941307068,0.9997934103012085,0.7129286527633667,0.44633838534355164,-0.1502871960401535,0.9999937415122986,0.6491946578025818,0.5910679697990417,0.08566108345985413,0.9998323321342468,0.6290961503982544,0.5924277305603027,-0.08577384054660797,0.9999412298202515,0.7208905816078186,0.6016694903373718,0.16294117271900177,0.9062638282775879,0.6278589963912964,0.7303321957588196,-0.11388985067605972,0.9951052665710449,0.6854536533355713,0.7129453420639038,0.15332534909248352,0.981147050857544,0.5471417903900146,0.6868212819099426,-0.1045622006058693,0.9968291521072388,0.6715943217277527,0.7331105470657349,0.1517311930656433,0.9821918606758118,0.5313374400138855,0.6674529314041138,-0.10063406825065613,0.992154598236084,0.7120515704154968,0.755868136882782,0.16095656156539917,0.9874683618545532,0.5480042099952698,0.7495782375335693,-0.10939647257328033,0.9967907071113586
L,0.750196635723114,0.4489515721797943,-0.005296111572533846,0.9999428391456604,0.7075865268707275,0.43989667296409607,0.12866002321243286,0.9998037219047546,0.7130433917045593,0.4456806480884552,-0.14854317903518677,0.9999940395355225,0.6492093205451965,0.5910376310348511,0.08553102612495422,0.9998361468315125,0.6294757723808289,0.5924456715583801,-0.08564628660678864,0.9999433755874634,0.7208758592605591,0.6019003391265869,0.1624520868062973,0.905189573764801,0.6281100511550903,0.7299933433532715,-0.12050645798444748,0.9949570894241333,0.6856083273887634,0.7128494381904602,0.1484203338623047,0.981299877166748,0.5472408533096313,0.6869550347328186,-0.11777404695749283,0.9968772530555725,0.6716504693031311,0.7332425713539124,0.14648385345935822,0.9824092984199524,0.5316932201385498,0.6675438284873962,-0.11439856886863708,0.9922588467597961,0.7122104167938232,0.7559308409690857,0.15506505966186523,0.9877033233642578,0.548239529132843,0.7495470643043518,-0.12490153312683105,0.9968693256378174
L,0.7500755786895752,0.44769424200057983,-0.010774911381304264,0.9999487400054932,0.7073763608932495,0.43984749913215637,0.1282564401626587,0.9998194575309753,0.7129684686660767,0.44558340311050415,-0.1501552313566208,0.9999945163726807,0.6492276191711426,0.5908371806144714,0.0858037918806076,0.9998427033424377,0.6297776699066162,0.5925144553184509,-0.08592817187309265,0.999946653842926,0.7209530472755432,0.6011045575141907,0.16440775990486145,0.9030570387840271,0.6281709671020508,0.7299318909645081,-0.1284409761428833,0.9947043657302856,0.6856095194816589,0.7124502658843994,0.15382671356201172,0.9813249111175537,0.5473099946975708,0.6870189309120178,-0.1224636510014534,0.99686598777771,0.6721134781837463,0.7323922514915466,0.15254716575145721,0.9825394153594971,0.5319840908050537,0.6676006317138672,-0.11885648220777512,0.9922568798065186,0.7127139568328857,0.7558324933052063,0.16358879208564758,0.987904965877533,0.5488067269325256,0.7496267557144165,-0.12764771282672882,0.9969058036804199
